Nationality,Participant_ID,Trust_Overall,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Culture_Affinity
German,af963537-2f40-45ef-a585-362b6a0cfa23,0.5714285714285715,0.375,0.875,0.75,0.5,0.75,0.7222222222222222
Italian,77d6bc3e-0cf1-4b5b-9601-d69825a000f4,0.5285714285714286,0.75,0.375,0.625,0.5,0.625,0.9444444444444444
German,769f83e0-4702-4b09-930c-53309601ff1f,0.7071428571428571,0.625,0.375,0.625,0.5,0.75,0.6111111111111112
Italian,4940d128-0d30-49b3-9ead-fb0b0bf171bf,0.45,0.75,0.25,0.625,0.625,0.5,1.0
German,831dea5f-05d3-4907-8ac8-893e24281e36,0.7642857142857143,0.875,0.625,0.625,0.625,0.625,0.7777777777777778
Italian,3318f716-94c4-4264-a345-2546b545b2a1,0.9214285714285714,0.375,0.5,0.875,0.5,0.5,0.8888888888888888
German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,0.6,0.625,0.5,0.625,0.5,0.75,0.8333333333333334
German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,0.5142857142857143,0.75,0.5,0.5,0.5,0.75,0.8333333333333334
Italian,e5a48669-afa0-47a4-a209-55d7b5b2b6b9,0.4857142857142857,0.75,0.5,0.625,0.75,1.0,0.9444444444444444
Italian,6bb1b078-2981-416a-97f4-c2d879a59d63,0.6785714285714286,0.5,0.375,0.75,0.5,0.625,0.3333333333333333
German,53d3e943-cd2e-45c1-b454-52e0d27145fb,0.8571428571428571,0.875,0.625,0.875,0.5,0.5,0.8888888888888888
German,54327bfe-6f42-427f-b32d-02e417005af2,0.7857142857142857,0.625,0.5,0.75,0.875,0.5,0.4444444444444444
Italian,83960241-a4c6-45de-9e6e-cc3a74c992f3,0.6285714285714286,0.75,0.125,0.375,0.5,0.75,0.8333333333333334
German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,0.7214285714285714,0.75,0.5,1.0,0.5,1.0,0.7222222222222222
Italian,25871003-e174-4bef-8e09-fb8f2e7ada43,0.6785714285714286,0.5,0.5,0.75,0.375,0.625,1.0
Italian,bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,0.6071428571428572,0.375,0.5,0.875,0.5,0.375,0.5
Italian,59fe0540-66fd-4fa6-ac63-76d06890b7c2,0.65,0.875,0.5,0.625,0.625,0.5,1.0
Italian,e68108b4-aeaa-4005-9c08-b9cdd7a87729,0.6428571428571429,0.625,0.625,0.375,0.375,0.875,0.8888888888888888
