,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.12527538500268212,0.05601242645091775,0.03465543581258925,0.15284963368048562,0.2057298525694453,0.2538876674982042,0.271266862920517,0.24013767603221972,0.2269782309915376,0.08185685493106018,0.26858165140097534
Which picture best describes the relationship between Pepper and your country? ,0.12527538500268212,1.0,0.8713226558985995,0.4528490365070191,0.27532757986760636,0.21701784739743638,0.21689160344218664,0.28804771432734705,0.2875021522796274,0.31870475049141606,0.8833815751662691,0.4025286755418071
Which picture best describes the relationship between Pepper and your national culture? ,0.05601242645091775,0.8713226558985995,1.0,0.6070218405247915,0.3958695034056734,0.3091996369971257,0.38559722270541963,0.42318635016063855,0.38933599690860893,0.3692001640393662,0.9442590605599641,0.5299220160156459
Which picture best describes the relationship between Pepper and your own preferences? ,0.03465543581258925,0.4528490365070191,0.6070218405247915,1.0,0.5665922311788862,0.4496658531076939,0.5218442403179521,0.5376308850240069,0.5311655348132609,0.4948696386722129,0.7918673693518333,0.6516600191099396
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.15284963368048562,0.27532757986760636,0.3958695034056734,0.5665922311788862,1.0,0.7783240720689265,0.6352807210044986,0.7710304850083459,0.6876584235443308,0.8536572701305682,0.47541285453685783,0.8640010682827939
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.2057298525694453,0.21701784739743638,0.3091996369971257,0.4496658531076939,0.7783240720689265,1.0,0.7326487232612761,0.7284543162524295,0.6727166654608657,0.6702207133244155,0.3748552013134316,0.8744516198114723
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.2538876674982042,0.21689160344218664,0.38559722270541963,0.5218442403179521,0.6352807210044986,0.7326487232612761,1.0,0.5880341285589897,0.6073605098912718,0.5807568960005888,0.4320567178448796,0.8218156185726504
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.271266862920517,0.28804771432734705,0.42318635016063855,0.5376308850240069,0.7710304850083459,0.7284543162524295,0.5880341285589897,1.0,0.6622397842674388,0.7476981112074419,0.4792165368120485,0.8621739878943564
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.24013767603221972,0.2875021522796274,0.38933599690860893,0.5311655348132609,0.6876584235443308,0.6727166654608657,0.6073605098912718,0.6622397842674388,1.0,0.7279209841975063,0.4636349928074027,0.8495083456047053
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.2269782309915376,0.31870475049141606,0.3692001640393662,0.4948696386722129,0.8536572701305682,0.6702207133244155,0.5807568960005888,0.7476981112074419,0.7279209841975063,1.0,0.4534989602948239,0.8572113122339049
mean_cultural_closeness,0.08185685493106018,0.8833815751662691,0.9442590605599641,0.7918673693518333,0.47541285453685783,0.3748552013134316,0.4320567178448796,0.4792165368120485,0.4636349928074027,0.4534989602948239,1.0,0.6073436188547682
mean_competence,0.26858165140097534,0.4025286755418071,0.5299220160156459,0.6516600191099396,0.8640010682827939,0.8744516198114723,0.8218156185726504,0.8621739878943564,0.8495083456047053,0.8572113122339049,0.6073436188547682,1.0
