,,0
openness,I see myself as someone who  [... has few artistic interests],0.9673829008746573
I see myself as someone who  [... has few artistic interests],openness,0.9673829008746573
"I see myself as someone who  [... is ongoing, sociable]",extraversion,0.9552783789612519
extraversion,"I see myself as someone who  [... is ongoing, sociable]",0.9552783789612519
I see myself as someone who  [... get nervous easily],Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.9546687410108758
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,I see myself as someone who  [... get nervous easily],0.9546687410108758
coscientiousness,I see myself as someone who  [... tends to be lazy],0.949331197558731
I see myself as someone who  [... tends to be lazy],coscientiousness,0.949331197558731
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9466169833782077
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.9466169833782077
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",0.9428808992889305
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]",0.9428808992889305
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.9420840521734622
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.9420840521734622
I see myself as someone who  [... is reserved ],extraversion,0.9383148632568367
extraversion,I see myself as someone who  [... is reserved ],0.9383148632568367
neuroticism,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.9337494132822679
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,neuroticism,0.9337494132822679
I see myself as someone who  [... get nervous easily],neuroticism,0.9312816822643962
neuroticism,I see myself as someone who  [... get nervous easily],0.9312816822643962
I see myself as someone who  [... is generally trusting],agreebleness,0.9182622582426504
agreebleness,I see myself as someone who  [... is generally trusting],0.9182622582426504
openness,I see myself as someone who  [... has active imagination],0.9143353729961053
I see myself as someone who  [... has active imagination],openness,0.9143353729961053
"I see myself as someone who  [... is relaxed, handles stress well]",neuroticism,0.9130061993737189
neuroticism,"I see myself as someone who  [... is relaxed, handles stress well]",0.9130061993737189
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9092932338564899
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.9092932338564899
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]",mean_trust_subj,0.8970451617497335
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]",0.8970451617497335
