Nationality,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]"
German,70,70,50,40,50,60,70,50,80,50,60,80,80,30
Italian,50,60,40,70,30,50,50,40,70,60,40,60,60,20
German,80,80,70,60,60,70,70,70,30,60,30,80,80,30
Italian,60,40,30,80,80,80,30,30,80,30,60,40,50,80
German,80,60,100,50,50,100,100,100,30,70,50,70,90,20
Italian,90,90,70,100,90,100,90,90,10,90,10,100,100,0
German,60,60,50,60,60,70,60,60,60,70,50,80,50,30
German,70,40,40,10,20,90,60,50,50,60,50,70,40,30
Italian,30,30,30,50,30,70,50,40,60,50,50,70,50,10
Italian,50,90,80,100,70,90,50,50,80,80,80,90,90,30
German,80,90,90,100,100,90,90,100,20,70,20,70,70,10
German,80,90,70,70,60,80,80,90,50,90,20,90,70,0
Italian,90,80,10,80,10,80,90,70,50,70,50,80,70,50
German,80,70,70,80,70,90,90,100,30,50,70,80,70,40
Italian,70,70,70,90,40,90,70,70,100,60,40,80,80,0
Italian,60,70,50,70,30,80,80,70,80,60,60,70,70,20
Italian,80,60,40,80,20,90,80,70,90,60,40,80,90,10
Italian,70,70,70,70,60,70,60,70,50,70,50,70,80,60
Italian,80,70,80,70,90,80,70,70,100,90,50,90,80,40
Italian,70,80,70,50,100,100,90,80,80,80,70,100,90,60
Italian,60,60,50,80,80,80,70,60,100,70,60,100,100,60
Italian,80,80,70,90,70,60,60,70,30,80,30,50,40,20
Italian,80,90,80,90,100,100,90,100,20,70,10,90,60,30
Italian,50,50,50,70,70,70,60,60,70,70,60,70,50,50
Italian,60,50,50,70,50,100,60,90,80,60,80,80,80,30
German,80,90,50,70,30,90,90,100,60,90,90,60,60,40
German,80,90,80,80,70,80,90,90,20,70,10,70,70,20
Italian,90,80,50,80,70,80,70,100,10,50,20,60,20,0
German,90,80,80,70,80,90,90,90,70,90,50,80,80,50
German,60,70,60,60,60,80,60,60,50,60,30,40,60,30
German,70,90,90,90,50,80,80,90,20,80,30,80,80,30
German,90,70,70,80,40,50,50,10,100,60,70,90,30,20
German,40,40,50,50,40,50,50,50,30,60,20,40,50,20
Italian,70,70,60,90,50,80,70,60,90,70,50,80,80,10
German,100,90,90,80,80,90,100,90,80,90,0,100,50,50
German,100,80,100,90,50,100,100,100,0,80,0,90,70,0
Italian,70,70,60,40,60,70,80,80,30,80,30,70,80,10
Italian,70,70,70,100,60,100,90,90,80,70,70,90,80,20
Italian,90,90,80,100,60,100,90,70,80,90,70,100,80,30
German,80,80,80,80,70,80,80,80,10,10,30,50,60,50
German,100,90,90,60,70,90,80,70,50,80,40,80,70,30
Italian,80,80,70,50,60,90,80,90,100,80,60,80,80,20
Italian,90,80,70,70,70,90,90,100,100,80,50,80,70,20
German,90,80,90,50,60,90,40,80,70,100,20,80,80,20
German,90,70,80,70,70,90,70,70,50,60,30,80,70,10
German,80,60,60,70,70,90,80,80,20,50,40,60,50,40
Italian,80,80,90,70,50,90,90,70,60,80,40,100,90,40
Italian,70,70,70,80,70,80,80,80,90,80,60,80,80,40
German,60,90,70,90,80,70,60,70,40,60,40,60,40,40
Italian,80,70,70,80,70,60,70,80,40,90,20,50,60,30
Italian,70,70,60,50,70,40,50,40,70,50,50,70,70,20
Italian,80,80,100,100,100,100,90,90,0,80,10,90,50,10
German,70,70,70,70,60,70,70,80,70,80,70,90,100,70
Italian,80,60,80,90,80,80,90,100,50,70,40,80,50,20
German,80,70,70,60,60,90,70,80,80,70,50,60,60,40
Italian,50,80,60,80,70,90,90,100,60,70,50,70,80,40
German,70,60,60,80,60,90,80,90,50,70,50,80,70,60
German,70,80,60,80,80,80,70,70,40,70,20,90,70,50
German,70,60,60,70,70,80,70,50,20,70,30,80,70,20
German,20,80,60,60,60,80,40,40,100,60,80,90,60,10
German,40,40,20,50,30,50,70,70,50,70,40,50,50,60
German,90,100,80,90,100,80,70,60,80,70,40,70,60,40
German,100,100,80,60,90,90,100,90,40,80,40,80,90,50
Italian,80,80,60,90,70,90,90,90,80,90,70,90,90,40
Italian,70,70,60,60,70,80,70,70,50,70,40,60,80,30
German,40,60,30,30,20,60,40,20,70,30,60,50,40,10
German,70,90,90,90,50,60,70,90,10,80,10,60,50,30
Italian,70,60,60,80,60,90,80,70,90,90,80,90,70,70
German,50,50,30,70,60,70,70,40,80,90,80,80,70,80
German,80,80,80,80,80,80,50,70,70,80,50,50,50,40
German,90,90,80,90,80,90,90,70,90,90,90,90,90,50
Italian,80,70,70,100,50,80,80,70,30,60,50,90,80,40
Italian,70,70,80,80,80,70,70,60,80,80,30,80,80,30
German,80,80,50,80,80,80,100,90,50,90,50,50,50,30
German,80,80,80,30,50,50,70,80,60,70,40,70,70,30
Italian,80,90,80,50,40,60,80,90,50,80,30,70,40,30
Italian,70,60,80,80,70,90,80,90,80,70,30,60,70,10
German,90,70,80,70,70,90,80,90,10,80,10,80,70,10
German,70,70,70,40,40,70,70,60,40,70,10,80,70,20
German,80,70,80,80,80,80,80,80,60,80,30,80,80,30
German,80,70,70,100,60,90,60,60,90,100,80,70,80,70
