,,0
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.9472357055876642
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.9472357055876642
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.9442847000064586
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.9442847000064586
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.9371576381315234
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.9371576381315234
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.9311247063507372
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.9311247063507372
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.92228021971346
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,mean_competence,0.92228021971346
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",0.9126745642363504
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",mean_trust_subj,0.9126745642363504
I see myself as someone who  [... tends to be lazy],coscientiousness,0.9073229767805333
coscientiousness,I see myself as someone who  [... tends to be lazy],0.9073229767805333
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.8923209547190043
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,mean_competence,0.8923209547190043
I see myself as someone who  [... get nervous easily],neuroticism,0.8907857658673151
neuroticism,I see myself as someone who  [... get nervous easily],0.8907857658673151
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8797107847894744
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8797107847894744
I see myself as someone who  [... is reserved ],extraversion,0.8690872392341208
extraversion,I see myself as someone who  [... is reserved ],0.8690872392341208
"I see myself as someone who  [... is relaxed, handles stress well]",neuroticism,0.8686037872475605
neuroticism,"I see myself as someone who  [... is relaxed, handles stress well]",0.8686037872475605
agreebleness,I see myself as someone who  [... is generally trusting],0.8523135262378535
I see myself as someone who  [... is generally trusting],agreebleness,0.8523135262378535
Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8457554636514794
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Which picture best describes the relationship between Pepper and your own preferences? ,0.8457554636514794
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",0.8392587026589817
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",mean_trust_subj,0.8392587026589817
mean_cultural_closeness_subj,Which picture best describes your relationship with Italy or Germany?,0.832691419434595
Which picture best describes your relationship with Italy or Germany?,mean_cultural_closeness_subj,0.832691419434595
mean_cultural_closeness_subj,Which picture best describes your relationship with Italian or German Culture?,0.8264620461205774
Which picture best describes your relationship with Italian or German Culture?,mean_cultural_closeness_subj,0.8264620461205774
openness,I see myself as someone who  [... has few artistic interests],0.8232389810552132
I see myself as someone who  [... has few artistic interests],openness,0.8232389810552132
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.8124822173844397
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8124822173844397
Which picture best describes the relationship between Pepper and your own preferences? ,mean_competence,0.80968961096814
mean_competence,Which picture best describes the relationship between Pepper and your own preferences? ,0.80968961096814
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.8038180888332189
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,mean_competence,0.8038180888332189
