,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.8161710590795348,0.6198015116713089,0.48346325406041035,0.45175421890184037,0.32503415142304504,0.5820123235828135,0.4883372430975239,0.5024842416811747,0.8970261927941333,0.6334954911928852
Which picture best describes the relationship between Pepper and your national culture? ,0.8161710590795348,1.0,0.7119710889053037,0.7495364312124503,0.5119506767090175,0.4949241006296562,0.6054685970807654,0.5868901046220262,0.6953912473241023,0.9346933155825875,0.7560211367486612
Which picture best describes the relationship between Pepper and your own preferences? ,0.6198015116713089,0.7119710889053037,1.0,0.6707386044633714,0.40493120183282655,0.3679239365016416,0.5329370637809592,0.4146424615492114,0.6427170625133963,0.8691655600590135,0.6325757776404909
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.48346325406041035,0.7495364312124503,0.6707386044633714,1.0,0.6257481524144947,0.6882173129920022,0.6659942678836989,0.6519571662702486,0.831699167342362,0.7075505496985798,0.8413306084834489
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.45175421890184037,0.5119506767090175,0.40493120183282655,0.6257481524144947,1.0,0.8590856325285544,0.5930261879112219,0.6131539211521715,0.5544784433134746,0.5062007711546194,0.8438245766971031
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.32503415142304504,0.4949241006296562,0.3679239365016416,0.6882173129920022,0.8590856325285544,1.0,0.48036367202823266,0.5993233625643289,0.6054126621688183,0.44040571067144824,0.8214670170078792
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.5820123235828135,0.6054685970807654,0.5329370637809592,0.6659942678836989,0.5930261879112219,0.48036367202823266,1.0,0.6010246128400468,0.777440678402746,0.6365256276659561,0.8212233533670246
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.4883372430975239,0.5868901046220262,0.4146424615492114,0.6519571662702486,0.6131539211521715,0.5993233625643289,0.6010246128400468,1.0,0.7005725392250449,0.5506618215663299,0.8287778373232089
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.5024842416811747,0.6953912473241023,0.6427170625133963,0.831699167342362,0.5544784433134746,0.6054126621688183,0.777440678402746,0.7005725392250449,1.0,0.6835737924038282,0.8720697076839399
mean_cultural_closeness,0.8970261927941333,0.9346933155825875,0.8691655600590135,0.7075505496985798,0.5062007711546194,0.44040571067144824,0.6365256276659561,0.5506618215663299,0.6835737924038282,1.0,0.7488383004265194
mean_competence,0.6334954911928852,0.7560211367486612,0.6325757776404909,0.8413306084834489,0.8438245766971031,0.8214670170078792,0.8212233533670246,0.8287778373232089,0.8720697076839399,0.7488383004265194,1.0
