,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,36.0,36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
unique,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,, 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,1.0,,5.444444444444445,6.694444444444445,5.75,3.2222222222222223,3.638888888888889,2.7222222222222223,3.4166666666666665,3.3333333333333335,4.111111111111111,2.4722222222222223,3.888888888888889,2.638888888888889,3.7222222222222223,0.7222222222222222,0.7027777777777778,0.6277777777777779,0.7638888888888888,0.625,0.8166666666666668,0.7527777777777778,0.7527777777777777,0.6416666666666667,0.7138888888888888,0.4666666666666668,0.775,0.7083333333333334,0.2972222222222223,5.222222222222221,3.0666666666666664,-1.1666666666666667,-1.1666666666666667,-0.7777777777777778,0.3888888888888889,-3.388888888888889,1.1948758417508416
std,0.0,,1.4231643704775725,0.6684499957554019,1.0522085616183026,1.1491888098284462,1.0994226479066904,1.3007934086792923,1.2276574673510756,1.1464230084422218,0.7474825474418506,0.8446845940894528,0.7847757742648633,1.268357267779926,1.1112698299335921,0.13333333333333336,0.13624790663893543,0.1798588511839391,0.1641476300299351,0.2182724378909466,0.14832396974191325,0.15021149111666546,0.1828131147391645,0.28422827847649906,0.13763881881375054,0.18822478962286407,0.15376233980678478,0.17948338562186117,0.2006932429798716,0.6223355905792206,0.28,1.52127765851133,1.6300744943538186,2.2053326423676007,1.824872250366784,0.7474825474418508,0.09594927663907132
min,1.0,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3,0.3,0.1,0.4,0.1,0.4,0.3,0.3,0.0,0.3,0.1,0.4,0.2,0.0,3.6666666666666665,2.55,-4.0,-4.0,-4.0,-3.0,-4.5,0.905618686868687
25%,1.0,,4.0,7.0,5.0,2.0,3.0,2.0,2.75,3.0,4.0,2.0,3.75,1.75,3.0,0.7,0.6,0.5,0.7,0.5,0.775,0.7,0.7,0.5,0.6,0.375,0.7,0.6,0.17500000000000002,4.666666666666667,2.8775,-2.0,-2.25,-2.0,-1.0,-4.125,1.1586963383838382
50%,1.0,,6.0,7.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.5,4.0,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.8,0.8,0.3,5.333333333333333,3.075,-1.5,-1.0,-1.0,0.0,-3.3,1.2075441919191916
75%,1.0,,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,0.8,0.8,0.7,0.9,0.7,0.9,0.9,0.9,0.8250000000000001,0.8,0.6,0.9,0.8,0.4,5.666666666666667,3.2700000000000005,0.0,0.0,0.25,1.0,-3.1750000000000003,1.2550978535353536
max,1.0,,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,1.0,0.8,6.333333333333333,3.6700000000000004,2.0,3.0,4.0,4.0,-1.2,1.356439393939394
