,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,-0.7302967433402214,-0.7302967433402214,-0.8164965809277261,-0.5400617248673216,-0.5557189302262113,-0.6835365551469959,-0.39674602380793617,-0.2809757434745081,-0.28306925853614895,-0.7747307172946183,-0.5532121639319909
Which picture best describes the relationship between Pepper and your country? ,-0.7302967433402214,1.0,0.9416666666666667,0.9503288904374105,0.44370598373247117,0.5072996561958925,0.890786169627706,0.3643083697025009,0.33985532912820726,0.1705477600601617,0.97348012378367,0.6023955711254239
Which picture best describes the relationship between Pepper and your national culture? ,-0.7302967433402214,0.9416666666666667,1.0,0.9689627902499088,0.6902093080282884,0.7102195186742493,0.9209093734315411,0.617832907682604,0.5642880936468346,0.35143174800275734,0.9880407239257332,0.7817876456097217
Which picture best describes the relationship between Pepper and your own preferences? ,-0.8164965809277261,0.9503288904374105,0.9689627902499088,1.0,0.5669467095138409,0.583383351196948,0.8660254037844386,0.48591265790377497,0.40147753427348293,0.20801257358446096,0.9907083906300569,0.6593410923728074
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,-0.5400617248673216,0.44370598373247117,0.6902093080282884,0.5669467095138409,1.0,0.9432422182837985,0.6364688465216445,0.9326931355556143,0.859884053111419,0.764374360109732,0.5906857517503467,0.9096838500898758
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,-0.5557189302262113,0.5072996561958925,0.7102195186742493,0.583383351196948,0.9432422182837985,1.0,0.7597084063935967,0.9337945803757378,0.9368612374990084,0.8494575058816318,0.6204733454702701,0.9819421043683653
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,-0.6835365551469959,0.890786169627706,0.9209093734315411,0.8660254037844386,0.6364688465216445,0.7597084063935967,1.0,0.5676845913066266,0.6092848842499201,0.4083267922029722,0.9055098447394382,0.8045464775754425
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.39674602380793617,0.3643083697025009,0.617832907682604,0.48591265790377497,0.9326931355556143,0.9337945803757378,0.5676845913066266,1.0,0.9606609011743236,0.8799552641858138,0.512108291243936,0.937906988718268
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,-0.2809757434745081,0.33985532912820726,0.5642880936468346,0.40147753427348293,0.859884053111419,0.9368612374990084,0.6092848842499201,0.9606609011743236,1.0,0.9146593467776805,0.45296759277561466,0.9446991321970832
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,-0.28306925853614895,0.1705477600601617,0.35143174800275734,0.20801257358446096,0.764374360109732,0.8494575058816318,0.4083267922029722,0.8799552641858138,0.9146593467776805,1.0,0.2554228531913749,0.8372115417606455
mean_cultural_closeness,-0.7747307172946183,0.97348012378367,0.9880407239257332,0.9907083906300569,0.5906857517503467,0.6204733454702701,0.9055098447394382,0.512108291243936,0.45296759277561466,0.2554228531913749,1.0,0.7006833092151142
mean_competence,-0.5532121639319909,0.6023955711254239,0.7817876456097217,0.6593410923728074,0.9096838500898758,0.9819421043683653,0.8045464775754425,0.937906988718268,0.9446991321970832,0.8372115417606455,0.7006833092151142,1.0
