,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which picture best describes your relationship with Italy or Germany?,,1.0,0.5227690559965779,0.6128300481767321,-0.24574515047740372,0.014937790198802809,-0.07909341144012723,0.22581127871324178,-0.028357192227352685,0.17005205118651034,-0.13294733768179998,-0.0696401938525925,-0.16202697239350308,0.05204223894863292,0.08115182835070661,-0.2344966816046805,-0.25331982701683026,-0.11503479530391582,-0.15990128669162873,0.21441554599409562,0.06188995096237549,0.20148144404507107,-0.21972707224004626,-0.16151323777969573,-0.27421069153117184,-0.2129542858433707,-0.19684870324658066,-0.12845038143287016,0.48588447910060223,0.004524448911865542,-0.08530646476722875,-0.029616774007645053,-0.21503691864641064,0.049018406426330235,-0.1615396200648931,0.40316204510262876
Which picture best describes your relationship with Italian or German language?,,0.5227690559965779,1.0,0.3837767573192945,-0.1611492662766584,0.26419851480083867,0.15519946150755048,-0.09968498422167806,0.11993393888847012,0.348711915483254,-0.0930912231114185,-0.24756852265666704,0.07611293202197075,0.23136299780786698,0.15243016604553675,-0.04950063171177468,-0.1513817863277098,0.02850833554481278,0.044946657497549634,0.10458210543697158,0.05257811465552342,0.1646658614843269,-0.18774018432822048,-0.10994822651855006,-0.09776055227341586,-0.06568566618047678,-0.04645722098118829,-0.07337648138646564,0.639079566746866,0.3258215859766761,-0.2447173473347979,0.2393420909249774,0.09751218713095018,0.06483414913457221,-0.33339431097727745,0.6461421923999587
Which picture best describes your relationship with Italian or German Culture?,,0.6128300481767321,0.3837767573192945,1.0,-0.11679426258784428,0.0016207360821425525,-0.022637563964341904,0.20553037641251556,-0.1687072786804757,0.2952077827119772,0.1526903051412966,0.05128099259954453,-0.01897732814840752,0.10957804292475054,-0.026847717135617715,-0.3219887196534818,-0.24069670159822562,-0.19342850124515948,-0.2092768093392522,-0.19142852765449347,-0.16461345394565396,0.0880758220615142,-0.25032188090518537,-0.46237592664497634,-0.42860427090882575,-0.48656366852125127,-0.34412981072311866,-0.15201006509271023,0.7210799144329404,0.2024022583098637,0.08428568115745062,-0.04206622144854818,-0.12332851597410435,0.17104137288655166,-0.3060805238017764,0.5009989537784396
I see myself as someone who  [... is reserved ],,-0.24574515047740372,-0.1611492662766584,-0.11679426258784428,1.0,0.07879400410851843,0.008206269959274837,-0.26096341253856037,-0.0895366051641299,-0.277941260136061,0.07227124053122688,-0.11755519688533206,0.36354214075232594,0.2859912319803751,-0.06582504575467338,0.0008783941947492606,-0.005345301200239542,-0.09040437031122056,-0.13566893935162105,-0.04505799755133116,-0.020493925785100023,-0.18613228913696217,0.10610733140740608,-0.13809052063219085,0.08810614899012703,0.12850733658574118,0.0780970737973962,-0.04294339528313985,0.4288893584349001,0.057777401458142655,-0.016990380234940542,0.06192905954640038,0.34783454935170083,0.2281179205175452,0.27424584626172094,0.47639109199416135
I see myself as someone who  [... is generally trusting],,0.014937790198802809,0.26419851480083867,0.0016207360821425525,0.07879400410851843,1.0,-0.17817556387100458,-0.25497316727673036,0.0956714025620419,0.2225342274493508,-0.19015594364648825,0.12185282685287205,0.07335744909691409,0.14664915098093892,0.1370989030058027,0.22386538505319445,0.2589234307496322,-0.11196658754246559,0.16042097726428028,0.006313260821202083,0.11063906327365798,0.2084947715478403,0.03144970516989663,0.34741238529583396,-0.017418251197424864,-0.0026198755206196384,0.2164243481413801,-0.19754712028140867,0.1797949615528921,0.37057140276636485,-0.8354743788190822,-0.19819036454950312,0.18106227420165574,0.028866002544202973,-0.20666889207706562,0.278831891927123
I see myself as someone who  [... tends to be lazy],,-0.07909341144012723,0.15519946150755048,-0.022637563964341904,0.008206269959274837,-0.17817556387100458,1.0,0.05353160679196605,-0.08718017864328717,-0.3428203220287213,0.22160531383984325,-0.20644637577914451,0.019270510169421728,0.0634412376930161,-0.06517175725704041,-0.0019862981037861746,0.06950163125461754,0.38610871313184847,0.04292477667101633,0.16524526468741246,0.026023136400201912,0.07417220551086273,-0.23255600386789985,-0.22779096888143868,-0.0232906137940743,0.09112375158620412,0.08951773183060842,-0.20337018326320228,0.06950081958967301,0.31676140373650236,0.25393831922182614,0.8871317110642977,-0.01847994008443537,0.09249531182113037,0.34071201492255077,0.04498912034835754
"I see myself as someone who  [... is relaxed, handles stress well]",,0.22581127871324178,-0.09968498422167806,0.20553037641251556,-0.26096341253856037,-0.25497316727673036,0.05353160679196605,1.0,-0.19137161260411123,0.11680558398138186,0.032741219631688114,0.16585258249202925,-0.6190049913652854,-0.14226126744607517,-0.005756927412865148,-0.11085502186342362,-0.17050006185121647,-0.1621123437956632,-0.06607199031830976,0.00908915913718784,0.12862630221315444,0.06498493734687383,-0.026412125239462562,-0.08961622619582532,-0.30145594906795237,-0.05353884918971329,-0.016183907372689727,-0.11428958420706342,-0.07914438325775286,0.05330026598245037,0.20421127375936393,-0.035952000170268686,-0.8967757037868027,0.03333313131496784,-0.12036347899783638,-0.15338872281526789
I see myself as someone who  [... has few artistic interests],,-0.028357192227352685,0.11993393888847012,-0.1687072786804757,-0.0895366051641299,0.0956714025620419,-0.08718017864328717,-0.19137161260411123,1.0,0.13201513119081398,0.26054213927054615,0.11725512050964386,0.12173259654423725,-0.33236570944887484,-0.04833438129966266,0.08949266535550651,0.06563015334425401,-0.2289315174687151,0.016918642914828058,-0.15837050305940992,0.1264309965856651,0.06936641141750707,-0.08955394236302067,0.1401345656457616,0.05154403030933425,0.08371969781432163,-0.19698273997273677,-0.020834115611873403,-0.09189229137044551,0.38949372080559996,0.07608861574542024,-0.12415761118700201,0.17346119591910522,-0.8226527194424156,-0.14243300024298347,-0.055627655759969696
"I see myself as someone who  [... is ongoing, sociable]",,0.17005205118651034,0.348711915483254,0.2952077827119772,-0.277941260136061,0.2225342274493508,-0.3428203220287213,0.11680558398138186,0.13201513119081398,1.0,0.10868979484105519,-0.0382668855270237,-0.11361937636313368,0.054512860903736,0.22296231199316044,-0.022017168497250217,-0.2512149397824197,-0.2741138684302664,-0.041982415260375494,-0.14374053163591533,-0.019757128312527655,-0.0163127693104828,-0.09690874237046988,-0.0665629456133164,-0.06220852087949555,-0.11929882538326897,-0.1350015543031583,0.2614082376122762,0.19039896019089098,0.3524392473122556,-0.10139716604217934,-0.25269466819875097,-0.12802583417693933,-0.04929165770372901,-0.9888252272909055,0.15737903704170694
