Answer_Value,Language,1st View Image 1,1st View Image 2,1st View Image 3,1st View Image 4,1st View Image 5,1st View Image 6
1.0,German,4.0,0.0,0.0,0.0,1.0,3.0
2.0,German,7.0,4.0,2.0,3.0,3.0,3.0
3.0,German,4.0,7.0,9.0,4.0,6.0,8.0
4.0,German,4.0,4.0,6.0,7.0,6.0,2.0
5.0,German,0.0,4.0,2.0,5.0,3.0,3.0
1.0,Italian,4.0,0.0,0.0,0.0,1.0,1.0
2.0,Italian,5.0,6.0,1.0,1.0,3.0,7.0
3.0,Italian,6.0,3.0,6.0,7.0,4.0,1.0
4.0,Italian,1.0,6.0,8.0,8.0,6.0,4.0
5.0,Italian,1.0,2.0,2.0,1.0,3.0,4.0
2.0,English,1.0,1.0,0.0,0.0,1.0,1.0
3.0,English,2.0,0.0,2.0,0.0,1.0,0.0
4.0,English,0.0,2.0,0.0,3.0,0.0,1.0
5.0,English,0.0,0.0,1.0,0.0,1.0,1.0
