Group,Trait,Outcome,Correlation,P-Value,Strength,Significant
Global,Trust_Overall,Culture_Closeness_Avg,0.138,0.032,Weak,True
Global,Trust_Overall,Competence_Overall,0.191,0.0027,Weak,True
Global,Neuroticism,Competence_Overall,-0.159,0.0133,Weak,True
Italian,Agreeableness,Culture_Closeness_Avg,0.387,0.0,Moderate,True
Italian,Agreeableness,Competence_Overall,0.221,0.0179,Weak,True
Italian,Openness,Culture_Closeness_Avg,0.229,0.0141,Weak,True
Italian,Culture_Affinity,Culture_Closeness_Avg,0.277,0.0028,Weak,True
German,Trust_Overall,Culture_Closeness_Avg,0.425,0.0,Moderate,True
German,Trust_Overall,Competence_Overall,0.206,0.019,Weak,True
German,Agreeableness,Culture_Closeness_Avg,-0.189,0.0323,Weak,True
German,Agreeableness,Competence_Overall,-0.257,0.0033,Weak,True
German,Conscientiousness,Culture_Closeness_Avg,-0.31,0.0003,Moderate,True
German,Neuroticism,Competence_Overall,-0.276,0.0015,Weak,True
