Participant ID,Nationality,Participant_Response,Change_Detected,Primary_Trigger,Grounding_Verification,Researcher_Notes
af963537-2f40-45ef-a585-362b6a0cfa23,German,yes they changed because I got more frustrated that it didnt do what I wanted and it did the same thing (basically ignoring me and talking about what they wanted) every time,y,content,n,
 77d6bc3e-0cf1-4b5b-9601-d69825a000f4,Italian,"Yes they changed. For neutral case scores were lower and I felt more ""robotic"" interactions, while for the second case the interactions felt a bit more natural",y,interaction,y,
769f83e0-4702-4b09-930c-53309601ff1f,German,I think my individual preference for Pepper increased because we conversed in my native tongue.,y,lang,y,
4940d128-0d30-49b3-9ead-fb0b0bf171bf,Italian,"My answers didn't change much, although I did notice a difference in language.",n,lang,n,
831dea5f-05d3-4907-8ac8-893e24281e36,German,"Yes I think my answers to the questionnaires changed a bit, because when the robot speaks mz national language (german), it directly feels more german. Espacially knowing about the different cultures in germany. I did not feel a big difference between nr. 1 and 3. culturally, but the adaptiveness showed a little when the robot asked me where it should stand and which tone to use for the conversation, but both did not feel especially german to me.",y,lang,y,Proxemics and language style do not have so much impact
3318f716-94c4-4264-a345-2546b545b2a1,Italian,"I felt pepper closer to me when it was communicating in my native language, and that partially influenced my answers",y,lang,y,
6f8e74ce-80c1-4afa-bc56-7aee0085ab76,German,Yes it did. I think because I might have some expectations about how good communication is supposed to be and if the robot adjusts its interactions with me according to my native language and communication style it will appear as more competent and natural to me,y,lang,y,The adaptation strategy was perceived more competent in general
ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,German,"first of all i think i was more relaxed and talkative the further time went on. i think it all happened, because the robot was more active and acutally asked me things back. i think my answers differed, becuase i found the robot more or less (sympatisch) in the different trys, it also depended on wether he responded more or less to my answers.",y,time,y,It takes time for interaction
e5a48669-afa0-47a4-a209-55d7b5b2b6b9,Italian,"yes, it felt confusing and out of context the adaptive one",y,confusing,n,The participant just answered about the adaptive strategy
6bb1b078-2981-416a-97f4-c2d879a59d63,Italian,"I think my answers changed between the first and second interactions, because Pepper sounded a little bit ""weirder"" the first time in Italian than it was in English, but they changed more between the second and the third since I noticed a bigger difference in Pepper's interactions",y,lang,n,"Between B and A weird the italian, then she got used to it and F is much better in interaction"
53d3e943-cd2e-45c1-b454-52e0d27145fb,German,"Yes, i felt more comfortable talking during the second interaction. I would mostly attribute this to the responsivness of Pepper though as it did not cut me off as often.",y,interaction,y,She feels that B cut her often
54327bfe-6f42-427f-b32d-02e417005af2,German,"not really, the robot seemed to have a similar personality and wanted to talk about cultures and linguistics. Furthermore he got confused often times with my orders, and at some point he startet speakig Italian, and I didnt know what to ask/response anymore.",n,,,"He also talks about the adaptive strategy, when the robot changed the language"
83960241-a4c6-45de-9e6e-cc3a74c992f3,Italian,I do not remember all the values I gave to each of the questions. I might have given a higher point (maybe one only) in a few. But over all my experience with the robot has not improved.,n,,,
e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,German,"Yes it changed, mainly because there was very little interaction in the first part. But also the talk about tea and coffee in the morning was human like and therefore it felt like Pepper was more ready to interact with human.",y,content,n,It takes time for interaction
25871003-e174-4bef-8e09-fb8f2e7ada43,Italian,"Yes it definitely changed. When talking to Pepper in Italian, I felt like it was a stretch. When talking in English it felt more like a natural conversation between me and something that would be in my house helping.",y,interaction,n,In native language is weirder and less competent
bd325b19-676d-4a2a-bbe0-4fbf8efe6a27,Italian,"I believe I was more relaxed and funny in my native language, but the I kept the overall answers to the questionnare the same. I do believe that when talking in italian Pepper was a bit more 'italian' in being more approachable.",n,lang,n,In native language is closer to the culture
59fe0540-66fd-4fa6-ac63-76d06890b7c2,Italian,yes they slighlty changed because i could grasp that the robot knew about my culture (even though i have to say when talking in italian to them i specifically asked about my home city). Overall though i didn't perceive much of a difference between the two interactions).,n,content,n,Participant asked about its native city when talking in its native language
e68108b4-aeaa-4005-9c08-b9cdd7a87729,Italian,"I gave lower scores after the neutral interaction as I perceived the national knowledge was lowest overall, as this was the last interaction I completed.",y,general,n,The last interaction went wrong somehow
75601dde-bfc7-4c5d-bd3d-02a5703c4bf2,Italian,"The answers changed only very slightly, I didn't perceive big differences in the different communication ways.",n,,,
c12a3001-11c2-4e38-8bb5-788342191e17,Italian,"Yes, but not because I noticed the difference in interaction, but rather because I talked more to the robot in the second interaction because I knew how it worked better",y,general,,It takes time for interaction
e979e6ff-54dd-4c1d-b148-64480ed585cf,Italian,Yes. The National Knowledge was acting less interactive and it was less interesting to talk to. He also looked like a bit less competent.,y,general,n,"national knowledg less competent, interacting and interesting than neutral"
873bbe79-2354-4c1d-ae4e-f787e61a1956,Italian,"Yes, a little bit. The neutral one seemed to interact better than the national knowledge one, I had fewer problems in the interaction and he was more responsive in the communication than the other one.",y,general,n,national knowledge less responsive and less problems in the interaction
c7373ea2-6f06-4cd2-bc9f-75dfbaa8c5fd,Italian,"yes, the interaction with the robot was much smoother in the neutral case. It seemed much more responsive and interactive. This might be due to the fact that english language is much better supported in technological applications.",y,general,n,national knowledge less responsive and less problems in the interaction. It points the fact that he/she expects that English is better supported.
 b1f78262-947f-4f64-b434-66eed804c0a2,Italian,I felt I change my interactions when the robot was switching languages. For some reason I was more interested in some topics when he was talking in English and other topic when he was talking in Italian. I felt it was more natural in English,y,content,n,some topics are more interesting in some paradigms and other in another. More natural in English
93dcfeaa-e30b-40f7-96ec-602592ff2b0a,Italian,The conversation i have was quite similar and we talked about the same things. but the national knowledge section was a more 'normal' and fluid conversation and i felt that pepper was more responsive and capable,y,general,n,"national knowledge more fluid, 'normal' and Pepper more responsive"
d510493c-d0f3-4094-8d3b-07d71f8fae47,German,"1. in this scenario I ranked the functions much higher, because the robot interacted with me the most. It answered to questions and repeated his questions, when I asked it to. In the National Knowledge Part I didnt understand the get the pronounciation of the word it was asking me about, since it has two different meanings in germen. When I asked which one it meant, it just assumed an answer.",y,general,,baseline is perceived as more able to understand 
