,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1,0.0149767580090305,0.0947743071874788,0.031662245561096,0.0343395421140714,0.0482650620190806,0.158665866812642,-0.0189810683263314,0.0290236057911663,0.0727331478537418,0.0526696978658361,0.0720900903723723
Which picture best describes the relationship between Pepper and your country? ,0.0149767580090305,1,0.789238790980544,0.634594041020968,0.484994025352622,0.434485363587606,0.338986759356301,0.492017949396065,0.484492020190794,0.472761412133386,0.897326310644633,0.600979253097721
Which picture best describes the relationship between Pepper and your national culture? ,0.0947743071874788,0.789238790980544,1,0.690026907406105,0.62733224468595,0.404192925626926,0.397424370354985,0.514024747046639,0.515559619230319,0.570209891801243,0.920727658562048,0.64272593248858
Which picture best describes the relationship between Pepper and your own preferences? ,0.031662245561096,0.634594041020968,0.690026907406105,1,0.612296476084586,0.435518056010627,0.436928722224375,0.48566631975158,0.471953670084547,0.609889037326799,0.870208843767338,0.644558286712147
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.0343395421140714,0.484994025352622,0.62733224468595,0.612296476084586,1,0.695593340277542,0.703134811725009,0.745775902217221,0.656278545958018,0.802448834250398,0.643295487911753,0.857264948639869
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.0482650620190806,0.434485363587606,0.404192925626926,0.435518056010627,0.695593340277542,1,0.789680520040514,0.630558983594325,0.576740154131827,0.617908765068727,0.474285721099184,0.838262158609992
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.158665866812642,0.338986759356301,0.397424370354985,0.436928722224375,0.703134811725009,0.789680520040514,1,0.56960166015968,0.63495794248129,0.692722334187138,0.437920174445011,0.852486519868034
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,-0.0189810683263314,0.492017949396065,0.514024747046639,0.48566631975158,0.745775902217221,0.630558983594325,0.56960166015968,1,0.582975853839847,0.779521970256602,0.554999260307481,0.830811310653159
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.0290236057911663,0.484492020190794,0.515559619230319,0.471953670084547,0.656278545958018,0.576740154131827,0.63495794248129,0.582975853839847,1,0.703610383677577,0.54755559250526,0.819044596455457
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.0727331478537418,0.472761412133386,0.570209891801243,0.609889037326799,0.802448834250398,0.617908765068727,0.692722334187138,0.779521970256602,0.703610383677577,1,0.6168400717274,0.892147247266804
mean_cultural_closeness,0.0526696978658361,0.897326310644633,0.920727658562048,0.870208843767338,0.643295487911753,0.474285721099184,0.437920174445011,0.554999260307481,0.54755559250526,0.6168400717274,1,0.703244338744251
mean_competence,0.0720900903723723,0.600979253097721,0.64272593248858,0.644558286712147,0.857264948639869,0.838262158609992,0.852486519868034,0.830811310653159,0.819044596455457,0.892147247266804,0.703244338744251,1
