,Nationality,Participant ID,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj
count,57.0,57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
unique,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,af963537-2f40-45ef-a585-362b6a0cfa23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.5789473684210527,,5.017543859649122,6.7368421052631575,5.350877192982456,3.473684210526316,3.912280701754386,2.7719298245614037,3.175438596491228,3.3157894736842106,3.8947368421052633,2.508771929824561,3.982456140350877,3.1228070175438596,3.9298245614035086,0.7333333333333333,0.7245614035087719,0.6526315789473685,0.7298245614035087,0.6298245614035087,0.8122807017543859,0.7491228070175437,0.7596491228070176,0.5912280701754387,0.7263157894736841,0.4578947368421053,0.7491228070175439,0.6912280701754385,0.30877192982456136,5.187134502923977,3.1347368421052635,-1.4035087719298245,-1.2105263157894737,-0.05263157894736842,0.6140350877192983,-3.1614035087719294,1.1860668084352293
std,0.4981167541368988,,1.4576305144967225,0.4442616583193193,1.231886301429285,1.1197139806648129,1.0737235237777853,1.2394921750984658,1.255314516900387,1.2699535246957732,0.9197090092274486,0.9281857691513795,0.7674453928962596,1.2965638026088764,0.9794249246151506,0.14057704208690963,0.14302934483423071,0.17839088617605073,0.1972714883105276,0.20785031726212236,0.13896322154568772,0.15250621417964752,0.19073134539264444,0.2798473447093114,0.13565491380373124,0.20869267255691407,0.14531100515979986,0.16177663365886616,0.19665116119157544,0.5492330289394227,0.31939734133855174,1.568206996208534,1.5894388284780525,2.2234228168651127,1.6982594657568029,0.9418360461591028,0.08664935931179471
min,0.0,,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.2,0.3,0.1,0.1,0.1,0.4,0.3,0.3,0.0,0.3,0.1,0.4,0.2,0.0,4.0,2.58,-4.0,-4.0,-4.0,-3.0,-4.5,1.0145833333333332
25%,0.0,,4.0,6.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,0.7,0.7,0.6,0.6,0.5,0.8,0.7,0.6,0.4,0.7,0.3,0.7,0.6,0.2,4.666666666666667,2.95,-3.0,-2.0,-2.0,0.0,-3.8,1.1434974747474747
50%,1.0,,5.0,7.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,0.8,0.7,0.7,0.8,0.6,0.8,0.8,0.8,0.6,0.7,0.5,0.8,0.7,0.3,5.333333333333333,3.09,-2.0,-1.0,0.0,0.0,-3.3,1.189330808080808
75%,1.0,,6.0,7.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,0.8,0.8,0.8,0.9,0.7,0.9,0.9,0.9,0.8,0.8,0.6,0.8,0.8,0.4,5.666666666666667,3.38,0.0,0.0,2.0,1.0,-3.1,1.2407828282828284
