Nationality,Participant_ID,Trust_Overall,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Culture_Affinity
German,af963537-2f40-45ef-a585-362b6a0cfa23,0.6,0.375,0.875,0.75,0.5,0.75,0.7222222222222222
German,769f83e0-4702-4b09-930c-53309601ff1f,0.6214285714285714,0.625,0.375,0.625,0.5,0.75,0.6111111111111112
German,831dea5f-05d3-4907-8ac8-893e24281e36,0.692857142857143,0.875,0.625,0.625,0.625,0.625,0.7777777777777778
German,6f8e74ce-80c1-4afa-bc56-7aee0085ab76,0.5857142857142857,0.625,0.5,0.625,0.5,0.75,0.8333333333333334
German,ee12cbc0-c683-4c40-88a5-ab4b99aeebdb,0.4857142857142857,0.75,0.5,0.5,0.5,0.75,0.8333333333333334
German,53d3e943-cd2e-45c1-b454-52e0d27145fb,0.7142857142857143,0.875,0.625,0.875,0.5,0.5,0.8888888888888888
German,54327bfe-6f42-427f-b32d-02e417005af2,0.6714285714285714,0.625,0.5,0.75,0.875,0.5,0.4444444444444444
German,e9a864b0-8b7c-4e9a-b0a8-30f178ff28fa,0.7071428571428571,0.75,0.5,1.0,0.5,1.0,0.7222222222222222
German,d510493c-d0f3-4094-8d3b-07d71f8fae47,0.7142857142857143,0.625,0.625,0.875,0.625,1.0,0.8333333333333334
German,f31981fc-9011-4437-b2d0-b29e34f4d363,0.657142857142857,0.625,0.5,0.625,0.625,0.375,0.4444444444444444
German,75ce6743-7ce3-44de-adfc-a86b0e097dcc,0.7785714285714286,0.625,0.5,0.625,0.75,0.5,0.2222222222222222
German,d1d8ea35-9127-46a9-aa2d-c37a16537f18,0.5571428571428572,0.75,0.5,0.5,0.625,0.625,0.8888888888888888
German,9fde0dbf-bef3-460e-90e5-7371e72bf61e,0.6857142857142857,0.625,0.5,0.5,0.375,0.625,0.6666666666666666
German,d5f6e081-f5da-4662-8e94-5e78d8faf500,0.5928571428571429,0.625,0.5,0.5,0.5,0.5,0.1666666666666666
German,ebc22b3f-a946-4b0b-928e-b0a6159b665c,0.4214285714285715,0.875,0.625,0.5,0.75,0.5,0.6666666666666666
German, d07625d6-1896-4f00-88a4-af8f3876f20d,0.7785714285714286,0.625,0.5,0.5,0.375,0.625,0.7222222222222222
German,48058970-cb05-497a-afdc-417cd948375d,0.6857142857142857,0.75,0.375,0.625,0.375,0.75,0.7777777777777778
German,4db961c3-1479-418f-a6bc-970fd0316cad,0.6,0.5,0.5,0.875,0.5,0.5,0.2222222222222222
