,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,1.0,0.9179421297789901,0.41304347826086957,0.610785564835303,0.333880575393169,0.333880575393169,0.9630868246861538,0.5897678246195884,0.8846517369293826,0.9219950989667682,0.8096158828735931
Which picture best describes the relationship between Pepper and your national culture? ,0.9179421297789901,1.0,0.43639871743591324,0.8319557065247207,0.3411747262011792,0.3411747262011792,0.9791666666666665,0.28067069969390573,0.8675276172357089,0.9421375444749879,0.7759816860548392
Which picture best describes the relationship between Pepper and your own preferences? ,0.41304347826086957,0.43639871743591324,1.0,0.2758386421836852,-0.49287132558039237,-0.49287132558039237,0.5417363388859615,-0.22116293423234573,0.5897678246195884,0.6878376135148905,-0.01383958774142908
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.610785564835303,0.8319557065247207,0.2758386421836852,1.0,0.08645856265563526,0.08645856265563526,0.7364853795464744,0.033407655239053036,0.4677071733467426,0.7029894945274106,0.42019691808547766
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.333880575393169,0.3411747262011792,-0.49287132558039237,0.08645856265563526,1.0,1.0,0.264135271897687,0.2965401263094555,0.37741470621203466,0.11238466421448018,0.8198565345348828
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.333880575393169,0.3411747262011792,-0.49287132558039237,0.08645856265563526,1.0,1.0,0.264135271897687,0.2965401263094555,0.37741470621203466,0.11238466421448018,0.8198565345348828
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.9630868246861538,0.9791666666666665,0.5417363388859615,0.7364853795464744,0.264135271897687,0.264135271897687,1.0,0.35721725415588007,0.9185586535436918,0.9826595893986434,0.7568216444238555
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.5897678246195884,0.28067069969390573,-0.22116293423234573,0.033407655239053036,0.2965401263094555,0.2965401263094555,0.35721725415588007,1.0,0.2499999999999998,0.2605531251673692,0.49278941718712876
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8846517369293826,0.8675276172357089,0.5897678246195884,0.4677071733467426,0.37741470621203466,0.37741470621203466,0.9185586535436918,0.2499999999999998,1.0,0.9181395839231105,0.7978495325886844
mean_cultural_closeness,0.9219950989667682,0.9421375444749879,0.6878376135148905,0.7029894945274106,0.11238466421448018,0.11238466421448018,0.9826595893986434,0.2605531251673692,0.9181395839231105,1.0,0.6451917802668673
mean_competence,0.8096158828735931,0.7759816860548392,-0.01383958774142908,0.42019691808547766,0.8198565345348828,0.8198565345348828,0.7568216444238555,0.49278941718712876,0.7978495325886844,0.6451917802668673,1.0
