,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.1317019350592119,0.15506780967005065,0.3267363159702985,0.1984433114074189,0.37686070710445463,0.4970655310488373,0.04139210893269454,0.21012779656228242,0.29179492864718964,0.22466474493842256,0.33220770592052046
Which picture best describes the relationship between Pepper and your country? ,0.1317019350592119,1.0,0.8462668991935456,0.7427951582404612,0.5840814289280744,0.36579443685627416,0.3943333590718937,0.6796104650463242,0.5107873534677068,0.523644830433509,0.9305671828287989,0.6489843171686125
Which picture best describes the relationship between Pepper and your national culture? ,0.15506780967005065,0.8462668991935456,1.0,0.7310925675773302,0.7802819532948311,0.38062386911507856,0.5058869382691921,0.6745864576731213,0.5826145792503568,0.666641640337716,0.935339503525343,0.7203218525852481
Which picture best describes the relationship between Pepper and your own preferences? ,0.3267363159702985,0.7427951582404612,0.7310925675773302,1.0,0.7007952611386128,0.4852982881679239,0.5488472352971262,0.7616611257370094,0.5822966563654812,0.7229268867084855,0.8977710997893192,0.7725331887657637
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.1984433114074189,0.5840814289280744,0.7802819532948311,0.7007952611386128,1.0,0.6386079245767803,0.7583962073363971,0.7405509325149435,0.7131975365770595,0.8900713788221588,0.7534438260459498,0.8848697328149584
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.37686070710445463,0.36579443685627416,0.38062386911507856,0.4852982881679239,0.6386079245767803,1.0,0.84660496336868,0.5257694543352831,0.7617044584500366,0.55134896306103,0.44740313502918605,0.8328194452447852
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.4970655310488373,0.3943333590718937,0.5058869382691921,0.5488472352971262,0.7583962073363971,0.84660496336868,1.0,0.44845587323617625,0.7713590590959752,0.6735955044805276,0.5287985115275075,0.8603376880824741
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.04139210893269454,0.6796104650463242,0.6745864576731213,0.7616611257370094,0.7405509325149435,0.5257694543352831,0.44845587323617625,1.0,0.6285213076198539,0.8009286329330978,0.7665116413466101,0.8084609948544641
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.21012779656228242,0.5107873534677068,0.5826145792503568,0.5822966563654812,0.7131975365770595,0.7617044584500366,0.7713590590959752,0.6285213076198539,1.0,0.7142940099816149,0.6089759307935889,0.896818248716004
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.29179492864718964,0.523644830433509,0.666641640337716,0.7229268867084855,0.8900713788221588,0.55134896306103,0.6735955044805276,0.8009286329330978,0.7142940099816149,1.0,0.6980216254603617,0.8730967327008519
mean_cultural_closeness,0.22466474493842256,0.9305671828287989,0.935339503525343,0.8977710997893192,0.7534438260459498,0.44740313502918605,0.5287985115275075,0.7665116413466101,0.6089759307935889,0.6980216254603617,1.0,0.778217466848617
mean_competence,0.33220770592052046,0.6489843171686125,0.7203218525852481,0.7725331887657637,0.8848697328149584,0.8328194452447852,0.8603376880824741,0.8084609948544641,0.896818248716004,0.8730967327008519,0.778217466848617,1.0
